2020-08-12 16:11:40, Today Ministry of Health met with the Royal Bhutan Police the Desuung the Red Cross Bhutan and the National Land Commission along with the existing Surveillance team at MOH The purpose of this meet was to xe2 x80 xa6 https t co dAAeC4KqGD , MoHBhutan , ,1489,Thimphu 
2020-08-12 15:58:12, KuenselOnline Please correct the incorrect information , jimjatz , ,32,Thimphu 
2020-08-12 15:48:10, TenzingLamsang People s king Stay home stay safe , YBhutanese , ,137,Thimphu 
2020-08-12 15:45:56, Lockdown in Samtse uneventful but effective https t co bJkWzFOWvg , BBSBhutan , ,51820,Thimphu 
2020-08-12 15:45:32, Demand for cordyceps plummets amid the pandemic https t co TQw2ewFBjI , BBSBhutan , ,51820,Thimphu 
2020-08-12 15:30:21, His Majesty did not sleep the entire night after Gelephu lady tested positive day before yesterday amp was up the whole night at MoH helping provide important leadership Then today morning HM dropped in at MoH at around 5 or 6 am in the morning to offer important advice amp support , TenzingLamsang , ,24111,Thimphu 
2020-08-12 15:20:07, 2 2 In the Phuentsholing case the loader already lived in a semi quarantine situation and could not freely interact with drivers or the public in the area Things not looking as bad as it did earlier but keep your fingers crossed and be prepared for the worst , TenzingLamsang , ,24111,Thimphu 
2020-08-12 15:19:39, 1 2 The good news is that 137 first contacts of the Gelephu lady including her immediate first contacts have tested negative Highly improbable now that others will test positive , TenzingLamsang , ,24111,Thimphu 
2020-08-12 15:17:49, I like this flexibility Our rules are almost regid but flexible even during pandemic is plausible xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f https t co NBWkxNk1wj , ChhedupSangay , ,1106,Thimphu 
2020-08-12 15:06:18, The dogs seem to be convinced that their barking has finally done the job and those steel monsters with round feet cars have stopped moving through their territory So no surprise that my car was chased in broad daylight by an outraged pack for breaking the canine lockdown xf0 x9f x98 x84 , TenzingLamsang , ,24111,Thimphu 
2020-08-12 15:00:46, My lockdown stock stayhome covid19lockdown staysafe The Land of Happiness https t co rDnyGYKGBo , TaseCdenD , stayhome covid19lockdown staysafe ,36,Thimphu 
2020-08-12 14:37:40, I want to hold you when I xe2 x80 x99m not suppose to , akachandorjee , ,4,Thimphu 
2020-08-12 14:37:13, playing and replaying our old conversation , akachandorjee , ,4,Thimphu 
2020-08-12 14:34:39, Just offer your heart to complete my project as soon as possible to benefit all sentient beings and to fight this pandemic https t co 4yULtqAK9O https t co CY1eKaSczl , ngawang tendar , ,9,Paro 
2020-08-12 14:29:13, Second day of lock down spent in silence and a flurry of rain pattered against the roof lockdown thimphu , GenuineShadow , lockdown thimphu ,375,Thimphu 
2020-08-12 13:57:01, INCIndia Best wishes BJP You are doing superb Wishes , nidhi bhattarai , ,6,Thimphu 
2020-08-12 13:46:55, TimesNow PawarSpeaks This sort of politicians will never consider the to to enhance poverty level They don xe2 x80 x99t have feeling the poor and to the truth and rights Useless politicians Justice for Sushant , nidhi bhattarai , ,6,Thimphu 
2020-08-12 13:28:37, The election is essentially over The pandemic will also be over by March 2021 I am willing to bet It will take four weeks of enlightened leadership to bring the pandemic down Just 4 weeks , sandeeps13 , ,274,Thimphu 
2020-08-12 13:24:56, Finally reading mkonnikova I am going to adapt and change one day at a time , sandeeps13 , ,274,Thimphu 
2020-08-12 13:18:17, The LIVE Press Conference Ends , ChhedupSangay , ,1106,Thimphu 
2020-08-12 13:17:59, IYD2020 in Bhutan marked online by Youth Advocacy Network YAN Bhutan UNICEFBhutan BhutanFdn YDF https t co lFmmOzpL1O , sangaykhandu , IYD2020 Bhutan Youth YDF ,7969,Thimphu 
2020-08-12 13:17:27, JDWNR hospital has more challenges We are working on to improve the system Health Minister , ChhedupSangay , ,1106,Thimphu 
2020-08-12 13:11:54, Sangaywk The CCTV footage of a taxi where Gelephu lady and two co passengers were travelling from Paro to Thimphu While the taxi driver has been identified two passengers couldn t Pleading the two passengers to come for the test la , ChhedupSangay , ,1106,Thimphu 
2020-08-12 13:05:54, Question if construction works are allowed has come twice now Looks like we need to understand the meaning of lockdown , ChhedupSangay , ,1106,Thimphu 
2020-08-12 13:04:50, kuenzakarma Technically our Constitution empowers each and everyone of us to render help under such dire circumstances IMO , sangaykhandu , ,7969,Thimphu 
2020-08-12 13:03:23, Bit late to see this picture Very impressive https t co KJZL1ekiQl , ChhedupSangay , ,1106,Thimphu 
